Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
904 7th Av,Car Fire,05/22/2019 12:55:00 PM,47.6069,-122.329051,POINT (-122.329051 47.6069),F190051945
9610 53rd Av S,Aid Response,05/22/2019 12:55:00 PM,47.515984,-122.266529,POINT (-122.266529 47.515984),F190051946
106 Pike St,Aid Response,05/22/2019 12:57:00 PM,47.608849,-122.339945,POINT (-122.339945 47.608849),F190051950
1902 2nd Av,Aid Response,07/01/2019 07:45:00 AM,47.610972,-122.340465,POINT (-122.340465 47.610972),F190068848
4737 Roosevelt Way Ne,Unk Odor,07/01/2019 07:45:00 AM,47.663338,-122.317421,POINT (-122.317421 47.663338),F190068849
610 Terry Ave,Aid Response,08/23/2021 01:08:00 PM,47.606084,-122.323701,POINT (-122.323701 47.606084),F210092211
6935 Fauntleroy Way Sw,Auto Fire Alarm,03/17/2020 07:26:00 AM,47.54133,-122.390043,POINT (-122.390043 47.54133),F200027234
2523 25th Av W,Triaged Incident,10/20/2019 11:33:00 PM,47.64167,-122.388965,POINT (-122.388965 47.64167),F190112236
2416 34th Av W,Medic Response,10/20/2019 07:42:00 PM,47.639859,-122.400995,POINT (-122.400995 47.639859),F190112168
Ne 112th St / 3rd Ave Ne,Aid Response,05/29/2021 06:45:00 PM,47.709602,-122.325981,POINT (-122.325981 47.709602),F210053798
5300 24th Ave Ne,Aid Response,01/21/2022 01:43:00 PM,47.66707,-122.301946,POINT (-122.301946 47.66707),F220009060
3328 36th Ave S,Aid Response,06/29/2021 02:11:00 AM,47.57328,-122.287746,POINT (-122.287746 47.57328),F210067383
2030 3rd Ave,Aid Response,09/21/2021 04:36:00 PM,47.612626,-122.341277,POINT (-122.341277 47.612626),F210104565
5214 Ballard Ave Nw,Auto Fire Alarm,09/21/2021 04:38:00 PM,47.665626,-122.382275,POINT (-122.382275 47.665626),F210104566
13202 Bitter Pl N,Aid Response,09/21/2021 04:39:00 PM,47.725053,-122.352505,POINT (-122.352505 47.725053),F210104567
5642 47th Ave Sw,Natural Gas Leak,10/20/2021 02:06:00 PM,47.551918,-122.392388,POINT (-122.392388 47.551918),F210116123
2917 S Snoqualmie St,Rescue Elevator,10/20/2019 07:37:00 PM,47.561509,-122.29496,POINT (-122.29496 47.561509),F190112166
1700 17th Av,Medic Response,10/20/2019 07:39:00 PM,47.616443,-122.310151,POINT (-122.310151 47.616443),F190112167
2808 Sw Nevada St,Hang-Up- Aid,10/20/2021 02:09:00 PM,47.565443,-122.368219,POINT (-122.368219 47.565443),F210116124
2122 Alki Ave Sw,Rescue Elevator,01/21/2022 01:44:00 PM,47.585742,-122.398482,POINT (-122.398482 47.585742),F220009061
7722 14th Av Ne,Investigate Out Of Service,08/16/2019 12:29:00 AM,47.68499,-122.313342,POINT (-122.313342 47.68499),F190087284
1200 Western Ave,Aid Response,05/21/2022 08:06:00 AM,47.605657,-122.338654,POINT (-122.338654 47.605657),F220058104
12th Av / E Alder St,Aid Response,10/20/2019 05:50:00 PM,47.60419,-122.316781,POINT (-122.316781 47.60419),F190112131
1704 Ne Columbia Rd,Auto Fire Alarm,08/16/2019 12:32:00 AM,47.650205,-122.310398,POINT (-122.310398 47.650205),F190087285
3001 S Myrtle St,Aid Response,08/16/2019 12:41:00 AM,47.538902,-122.293225,POINT (-122.293225 47.538902),F190087288
Ne 45th St / 12th Ave Ne,Aid Response,05/20/2020 07:39:00 PM,47.661285,-122.315442,POINT (-122.315442 47.661285),F200048101
8802 Midvale Av N,Aid Response,08/15/2019 10:25:00 PM,47.692374,-122.342392,POINT (-122.342392 47.692374),F190087253
12350 32nd Av Ne,Medic Response,08/15/2019 10:26:00 PM,47.717837,-122.293963,POINT (-122.293963 47.717837),F190087254
1005 Boren Ave,Aid Response,03/22/2021 06:01:00 AM,47.609367,-122.325166,POINT (-122.325166 47.609367),F210027504
2327 2nd Av,Aid Response,08/15/2019 10:32:00 PM,47.614242,-122.346,POINT (-122.346 47.614242),F190087256
1426 1ST AV,Aid Response,08/15/2019 10:27:00 PM,47.608081,-122.339337,POINT (-122.339337 47.608081),F190087255
1501 E Thomas St,Investigate Out Of Service,02/09/2021 01:16:00 AM,47.620503,-122.312698,POINT (-122.312698 47.620503),F210012891
9701 Myers Way S,Aid Response,02/09/2021 01:25:00 AM,47.515953,-122.331862,POINT (-122.331862 47.515953),F210012892
N 77th St / Aurora Ave N,Natural Gas Odor,08/23/2021 01:10:00 PM,47.684768,-122.344492,POINT (-122.344492 47.684768),F210092212
7923 M L King Jr Way S,Aid Response,02/09/2021 01:27:00 AM,47.530795,-122.280778,POINT (-122.280778 47.530795),F210012894
1501 4th Ave,Aid Response,08/23/2021 01:13:00 PM,47.610214,-122.336683,POINT (-122.336683 47.610214),F210092215
1255 Harrison St,Medic Response- 7 per Rule,10/20/2019 06:01:00 PM,47.621968,-122.331577,POINT (-122.331577 47.621968),F190112134
808 Fir St,Medic Response,10/20/2019 06:02:00 PM,47.602699,-122.322029,POINT (-122.322029 47.602699),F190112135
5968 Rainier Av S,Medic Response,10/20/2019 06:04:00 PM,47.548785,-122.276963,POINT (-122.276963 47.548785),F190112136
5812 East Green Lake Way N,Automatic Fire Alarm Resd,04/23/2019 04:45:00 PM,47.672273,-122.337569,POINT (-122.337569 47.672273),F190040556
3rd Av / Virginia St,Aid Response,04/23/2019 04:53:00 PM,47.612398,-122.340892,POINT (-122.340892 47.612398),F190040563
313 Ne 89th St,Automatic Medical Alarm,04/23/2019 05:16:00 PM,47.693152,-122.325542,POINT (-122.325542 47.693152),F190040573
S Albro Pl / Swift Av S,Aid Response,04/23/2019 06:21:00 PM,47.548886,-122.311131,POINT (-122.311131 47.548886),F190040591
Aurora Av N / Green Lake Dr N,Medic Response,04/23/2019 06:28:00 PM,47.689113,-122.344514,POINT (-122.344514 47.689113),F190040593
1942 Westlake Av,AFA4 - Auto Alarm 2 + 1 + 1,04/23/2019 07:32:00 PM,47.61409,-122.337592,POINT (-122.337592 47.61409),F190040609
115 BELLEVUE AV E,Scenes Of Violence 7,04/23/2019 08:02:00 PM,47.618943,-122.326713,POINT (-122.326713 47.618943),F190040618
11501 15th Av Ne,Aid Response Yellow,04/23/2019 09:13:00 PM,47.712167,-122.312433,POINT (-122.312433 47.712167),F190040642
511 S Dearborn St,Aid Response,04/23/2019 10:25:00 PM,47.595814,-122.327535,POINT (-122.327535 47.595814),F190040663
5232 44th Ave Sw,Medic Response,01/14/2020 04:02:00 PM,47.556099,-122.388406,POINT (-122.388406 47.556099),F200004883
803 S Lane St,Medic Response,01/14/2020 04:06:00 PM,47.59667,-122.32229,POINT (-122.32229 47.59667),F200004884
2115 N 134th St,Aid Response,03/23/2022 11:21:00 AM,47.725774,-122.334068,POINT (-122.334068 47.725774),F220033864
1518 W Dravus St,Rescue Elevator,04/25/2019 05:34:58 PM,47.648473,-122.376818,POINT (-122.376818 47.648473),F190041502
539 Occidental Av S,Aid Response,10/20/2019 06:05:00 PM,47.597952,-122.333263,POINT (-122.333263 47.597952),F190112137
9519 40th Av Ne,Aid Response,08/15/2019 11:21:00 PM,47.697586,-122.285279,POINT (-122.285279 47.697586),F190087270
15th Ave / E Denny Way,1RED 1 Unit,03/23/2022 11:22:00 AM,47.61852,-122.312742,POINT (-122.312742 47.61852),F220033865
1120 8th Av,Medic Response,08/15/2019 10:43:00 PM,47.608796,-122.329251,POINT (-122.329251 47.608796),F190087258
Stone Ave N / N 125th St,Investigate Out Of Service,09/25/2020 02:05:00 PM,47.719572,-122.342248,POINT (-122.342248 47.719572),F200095853
2030 Western Av,Medic Response,09/25/2020 02:08:00 PM,47.610633,-122.343884,POINT (-122.343884 47.610633),F200095854
8549 Greenwood Av N,Electrical Problem,09/25/2020 02:08:00 PM,47.691528,-122.355307,POINT (-122.355307 47.691528),F200095855
9038 Palatine Ave N,Aid Response,11/18/2021 12:46:00 PM,47.69456,-122.356683,POINT (-122.356683 47.69456),F210128052
8537 Fremont Ave N,Water Job Minor,07/26/2021 02:28:00 PM,47.690986,-122.349917,POINT (-122.349917 47.690986),F210079504
4505 39TH AVE SW,Aid Response,11/18/2021 12:47:00 PM,47.562836,-122.381447,POINT (-122.381447 47.562836),F210128053
